epoch,train_loss,train_acc,val_loss,val_acc,prec,rec,f1,lr,time
1,1.6389,47.25,1.8846,48.19,0.6038,0.4819,0.4495,0.001,86.45
2,1.3056,63.71,1.5008,57.98,0.7059,0.5798,0.5620,0.000999013,133.29
3,1.1639,70.50,1.0846,75.29,0.7652,0.7529,0.7450,0.000996057,146.02
4,1.0906,74.20,1.2782,67.33,0.7592,0.6733,0.6747,0.000991144,44.79
5,1.0323,76.84,1.0498,76.83,0.7857,0.7683,0.7646,0.000984292,159.55
6,0.9914,78.65,0.9679,79.63,0.8067,0.7963,0.7945,0.000975528,149.85
7,0.9592,80.08,0.9468,80.83,0.8300,0.8083,0.8056,0.000964888,177.61
8,0.9339,81.21,1.0221,77.93,0.8110,0.7793,0.7807,0.000952414,48.54
9,0.9034,82.39,0.9517,80.61,0.8463,0.8061,0.8116,0.000938153,48.17
10,0.8931,83.00,0.9054,82.87,0.8481,0.8287,0.8290,0.000922164,52.68
11,0.8693,83.95,1.0809,75.61,0.8222,0.7561,0.7618,0.000904508,49.04
12,0.8593,84.39,0.9682,79.84,0.8371,0.7984,0.8054,0.000885257,60.79
13,0.8392,85.26,0.8204,86.41,0.8680,0.8641,0.8627,0.000864484,43.45
14,0.8225,86.11,0.7998,87.08,0.8744,0.8708,0.8705,0.000842274,50.75
15,0.8095,86.49,0.7967,87.59,0.8800,0.8759,0.8757,0.000818712,46.42
16,0.7944,87.30,0.7893,87.77,0.8815,0.8777,0.8763,0.000793893,48.02
17,0.7855,87.71,0.8089,87.42,0.8863,0.8742,0.8749,0.000767913,46.86
18,0.7724,88.14,0.7801,88.04,0.8856,0.8804,0.8804,0.000740877,47.69
19,0.7604,88.85,0.7854,87.57,0.8812,0.8757,0.8757,0.00071289,123.65
20,0.7487,89.44,0.7775,88.00,0.8845,0.8800,0.8797,0.000684062,88.36
21,0.7406,89.60,0.7336,89.75,0.8982,0.8975,0.8971,0.000654508,43.24
22,0.7301,90.02,0.7522,89.24,0.8966,0.8924,0.8926,0.000624345,43.60
23,0.7202,90.49,0.7377,89.75,0.9004,0.8975,0.8977,0.000593691,45.55
24,0.7118,90.88,0.7452,89.64,0.9008,0.8964,0.8971,0.000562667,43.74
25,0.7022,91.37,0.7319,90.19,0.9048,0.9019,0.9021,0.000531395,43.24
26,0.6925,91.64,0.7178,90.79,0.9105,0.9079,0.9082,0.0005,43.00
27,0.6857,92.13,0.7014,91.32,0.9135,0.9132,0.9132,0.000468605,43.38
28,0.6732,92.60,0.7128,91.19,0.9134,0.9119,0.9119,0.000437333,45.42
29,0.6645,92.93,0.6933,92.02,0.9211,0.9202,0.9201,0.000406309,91.44
30,0.6575,93.31,0.6942,92.07,0.9224,0.9207,0.9210,0.000375655,62.25
31,0.6518,93.42,0.6813,92.41,0.9247,0.9241,0.9240,0.000345492,45.48
32,0.6402,94.02,0.6851,92.58,0.9261,0.9258,0.9254,0.000315938,45.82
33,0.6333,94.27,0.7011,91.97,0.9206,0.9197,0.9190,0.00028711,43.88
34,0.6248,94.76,0.6814,92.54,0.9251,0.9254,0.9249,0.000259123,47.30
35,0.6199,94.93,0.6792,92.80,0.9292,0.9280,0.9283,0.000232087,47.70
36,0.6104,95.30,0.6700,92.98,0.9308,0.9298,0.9301,0.000206107,82.86
37,0.6052,95.61,0.6606,93.45,0.9353,0.9345,0.9348,0.000181288,149.14
38,0.5982,95.88,0.6562,93.52,0.9353,0.9352,0.9350,0.000157726,143.53
39,0.5921,96.14,0.6586,93.65,0.9371,0.9365,0.9362,0.000135516,151.79
40,0.5864,96.34,0.6526,94.00,0.9402,0.9400,0.9401,0.000114743,150.48
41,0.5846,96.42,0.6487,93.90,0.9393,0.9390,0.9390,9.54915e-05,132.45
42,0.5784,96.79,0.6463,94.13,0.9413,0.9413,0.9412,7.7836e-05,44.25
43,0.5748,96.96,0.6488,93.98,0.9404,0.9398,0.9400,6.18467e-05,43.74
44,0.5726,96.98,0.6448,94.26,0.9426,0.9426,0.9425,4.75865e-05,43.84
45,0.5711,96.96,0.6447,94.24,0.9426,0.9424,0.9425,3.51118e-05,44.14
46,0.5684,97.12,0.6448,94.37,0.9439,0.9437,0.9438,2.44717e-05,44.23
47,0.5657,97.30,0.6438,94.25,0.9426,0.9425,0.9425,1.57084e-05,44.55
48,0.5656,97.32,0.6427,94.33,0.9434,0.9433,0.9433,8.85637e-06,44.19
49,0.5632,97.35,0.6415,94.36,0.9437,0.9436,0.9436,3.94265e-06,43.99
50,0.5639,97.35,0.6430,94.35,0.9436,0.9435,0.9435,9.86636e-07,44.37
