epoch,train_loss,train_acc,val_loss,val_acc,prec,rec,f1,lr,time
1,1.6323,47.58,1.8368,49.05,0.6117,0.4905,0.4629,0.001,47.12
2,1.2905,64.31,1.4464,60.72,0.7161,0.6072,0.5997,0.000999013,100.21
3,1.1418,71.64,1.0835,74.55,0.7632,0.7455,0.7374,0.000996057,165.89
4,1.0597,75.50,1.1217,73.13,0.7817,0.7313,0.7363,0.000991144,187.41
5,0.9978,78.24,0.9600,80.47,0.8175,0.8047,0.8046,0.000984292,179.22
6,0.9490,80.57,0.9377,81.18,0.8212,0.8118,0.8107,0.000975528,188.04
7,0.9157,82.03,0.9073,82.13,0.8461,0.8213,0.8253,0.000964888,132.74
8,0.8847,83.39,0.9152,81.88,0.8398,0.8188,0.8185,0.000952414,113.90
9,0.8531,84.56,0.8285,85.62,0.8600,0.8562,0.8549,0.000938153,180.77
10,0.8389,85.34,0.8042,86.93,0.8737,0.8693,0.8698,0.000922164,46.36
11,0.8183,86.19,0.9085,82.82,0.8511,0.8282,0.8301,0.000904508,47.45
12,0.8001,87.01,0.8536,84.36,0.8665,0.8436,0.8432,0.000885257,131.60
13,0.7809,87.86,0.7893,87.62,0.8811,0.8762,0.8768,0.000864484,148.12
14,0.7640,88.55,0.7537,89.53,0.8985,0.8953,0.8955,0.000842274,178.96
15,0.7482,89.23,0.7737,88.30,0.8853,0.8830,0.8823,0.000818712,185.78
16,0.7354,89.99,0.7593,89.13,0.8934,0.8913,0.8903,0.000793893,187.51
17,0.7242,90.35,0.7315,90.20,0.9040,0.9020,0.9024,0.000767913,188.18
18,0.7136,90.88,0.7306,90.28,0.9067,0.9028,0.9036,0.000740877,177.04
19,0.7002,91.34,0.7258,90.58,0.9068,0.9058,0.9057,0.00071289,177.21
20,0.6903,91.77,0.7037,91.20,0.9124,0.9120,0.9118,0.000684062,170.18
21,0.6816,92.12,0.7150,91.13,0.9145,0.9113,0.9110,0.000654508,123.55
22,0.6717,92.60,0.7008,91.51,0.9153,0.9151,0.9147,0.000624345,44.80
23,0.6617,92.97,0.7140,90.86,0.9112,0.9086,0.9090,0.000593691,43.11
24,0.6544,93.30,0.6906,91.78,0.9186,0.9178,0.9180,0.000562667,46.79
25,0.6449,93.82,0.7010,91.62,0.9168,0.9162,0.9159,0.000531395,104.39
26,0.6372,94.11,0.6770,92.40,0.9246,0.9240,0.9242,0.0005,147.80
27,0.6330,94.36,0.6924,92.12,0.9224,0.9212,0.9210,0.000468605,184.77
28,0.6217,94.77,0.6880,92.34,0.9247,0.9234,0.9235,0.000437333,89.09
29,0.6148,95.11,0.6759,92.85,0.9287,0.9285,0.9284,0.000406309,175.37
30,0.6137,95.07,0.6822,92.40,0.9251,0.9240,0.9240,0.000375655,171.85
31,0.6056,95.49,0.6756,92.80,0.9285,0.9280,0.9279,0.000345492,80.56
32,0.5978,95.88,0.6760,92.79,0.9280,0.9279,0.9274,0.000315938,43.04
33,0.5921,96.07,0.6748,93.03,0.9307,0.9303,0.9303,0.00028711,43.38
34,0.5902,96.27,0.6650,93.26,0.9324,0.9326,0.9325,0.000259123,43.16
35,0.5855,96.40,0.6689,93.26,0.9331,0.9326,0.9327,0.000232087,43.58
36,0.5821,96.58,0.6621,93.51,0.9354,0.9351,0.9351,0.000206107,43.00
37,0.5752,96.84,0.6588,93.37,0.9340,0.9337,0.9337,0.000181288,46.90
38,0.5724,97.06,0.6559,93.62,0.9363,0.9362,0.9361,0.000157726,48.17
39,0.5675,97.21,0.6576,93.65,0.9368,0.9365,0.9364,0.000135516,47.34
40,0.5686,97.10,0.6552,93.91,0.9393,0.9391,0.9391,0.000114743,46.34
41,0.5667,97.23,0.6518,93.99,0.9400,0.9399,0.9399,9.54915e-05,45.61
42,0.5636,97.33,0.6535,94.02,0.9402,0.9402,0.9401,7.7836e-05,43.19
43,0.5628,97.40,0.6495,94.11,0.9412,0.9411,0.9411,6.18467e-05,43.17
44,0.5605,97.47,0.6508,93.97,0.9399,0.9397,0.9397,4.75865e-05,43.34
45,0.5598,97.55,0.6484,93.90,0.9391,0.9390,0.9390,3.51118e-05,43.86
46,0.5584,97.57,0.6491,94.00,0.9401,0.9400,0.9399,2.44717e-05,65.38
47,0.5577,97.54,0.6485,94.01,0.9402,0.9401,0.9400,1.57084e-05,78.53
48,0.5549,97.73,0.6473,94.12,0.9413,0.9412,0.9412,8.85637e-06,43.38
49,0.5552,97.70,0.6471,94.07,0.9407,0.9407,0.9407,3.94265e-06,44.34
50,0.5555,97.72,0.6486,94.03,0.9404,0.9403,0.9403,9.86636e-07,43.44
