epoch,train_loss,train_acc,val_loss,val_acc,prec,rec,f1,lr,time
1,2.1015,26.66,1.7380,40.09,0.4043,0.4009,0.3684,0.1,45.79
2,1.6970,43.65,1.5472,50.82,0.5359,0.5082,0.4942,0.0999013,44.09
3,1.4843,54.88,1.4623,57.52,0.6269,0.5752,0.5815,0.0996057,48.35
4,1.3156,63.32,1.2580,66.91,0.6970,0.6691,0.6660,0.0991144,49.28
5,1.1906,69.30,1.1727,70.50,0.7294,0.7050,0.7006,0.0984292,79.59
6,1.1014,73.35,1.0944,73.83,0.7652,0.7383,0.7396,0.0975528,113.95
7,1.0498,75.74,1.0526,76.08,0.7941,0.7608,0.7655,0.0964888,42.81
8,1.0218,77.17,1.0422,76.79,0.7811,0.7679,0.7659,0.0952414,42.37
9,0.9842,78.62,1.0270,77.29,0.7969,0.7729,0.7728,0.0938153,42.42
10,0.9749,79.33,0.9958,78.64,0.8140,0.7864,0.7869,0.0922164,43.14
11,0.9549,80.13,1.0307,77.12,0.7986,0.7712,0.7714,0.0904508,42.61
12,0.9438,80.47,1.0713,75.64,0.8245,0.7564,0.7642,0.0885257,67.35
13,0.9233,81.49,0.9969,78.68,0.8165,0.7868,0.7888,0.0864484,76.41
14,0.9075,82.41,0.9164,82.22,0.8390,0.8222,0.8238,0.0842274,82.16
15,0.8951,82.96,0.9044,82.71,0.8390,0.8271,0.8281,0.0818712,111.23
16,0.8838,83.41,1.0849,76.58,0.8105,0.7658,0.7662,0.0793893,64.72
17,0.8727,83.79,0.9316,81.33,0.8389,0.8133,0.8117,0.0767913,44.34
18,0.8671,84.04,1.0803,76.06,0.8063,0.7606,0.7575,0.0740877,43.76
19,0.8527,84.66,0.8178,86.26,0.8664,0.8626,0.8635,0.071289,43.71
20,0.8425,85.15,0.8513,85.10,0.8582,0.8510,0.8506,0.0684062,45.25
21,0.8287,85.73,0.8417,85.18,0.8667,0.8518,0.8542,0.0654508,175.52
22,0.8223,86.08,0.8264,86.09,0.8684,0.8609,0.8601,0.0624345,118.00
23,0.8135,86.42,0.8479,84.88,0.8621,0.8488,0.8475,0.0593691,44.98
24,0.8034,86.80,0.8073,86.61,0.8807,0.8661,0.8685,0.0562667,64.03
25,0.7917,87.39,0.8092,86.91,0.8783,0.8691,0.8709,0.0531395,45.40
26,0.7795,87.95,0.7893,87.85,0.8905,0.8785,0.8809,0.05,64.39
27,0.7709,88.11,0.8214,86.22,0.8701,0.8622,0.8626,0.0468605,169.21
28,0.7613,88.67,0.7485,89.36,0.8962,0.8936,0.8940,0.0437333,86.39
29,0.7458,89.42,0.7531,89.46,0.8966,0.8946,0.8938,0.0406309,43.90
30,0.7343,89.88,0.8034,86.82,0.8868,0.8682,0.8692,0.0375655,42.73
31,0.7292,90.15,0.7433,89.64,0.8997,0.8964,0.8969,0.0345492,42.61
32,0.7125,90.71,0.7260,90.44,0.9057,0.9044,0.9040,0.0315938,42.90
33,0.7018,91.25,0.7224,90.43,0.9061,0.9043,0.9046,0.028711,97.62
34,0.6921,91.63,0.7047,91.43,0.9156,0.9143,0.9137,0.0259123,42.84
35,0.6786,92.33,0.7157,90.99,0.9144,0.9099,0.9107,0.0232087,42.92
36,0.6685,92.71,0.7039,91.61,0.9175,0.9161,0.9160,0.0206107,76.59
37,0.6536,93.55,0.6897,91.95,0.9220,0.9195,0.9196,0.0181288,50.63
38,0.6409,94.06,0.6790,92.35,0.9269,0.9235,0.9236,0.0157726,46.02
39,0.6277,94.50,0.6599,93.32,0.9336,0.9332,0.9333,0.0135516,46.79
40,0.6182,95.02,0.6808,92.43,0.9274,0.9243,0.9236,0.0114743,48.63
41,0.6105,95.36,0.6457,93.94,0.9394,0.9394,0.9392,0.00954915,44.26
42,0.5969,95.89,0.6497,93.72,0.9380,0.9372,0.9372,0.0077836,50.12
43,0.5870,96.41,0.6361,94.26,0.9427,0.9426,0.9425,0.00618467,47.96
44,0.5803,96.75,0.6318,94.42,0.9443,0.9442,0.9441,0.00475865,46.38
45,0.5717,97.11,0.6245,94.72,0.9470,0.9472,0.9471,0.00351118,74.75
46,0.5673,97.26,0.6228,94.88,0.9490,0.9488,0.9489,0.00244717,61.30
47,0.5602,97.65,0.6213,94.89,0.9489,0.9489,0.9488,0.00157084,51.11
48,0.5584,97.64,0.6194,95.12,0.9511,0.9512,0.9511,0.000885637,139.03
49,0.5565,97.73,0.6176,95.15,0.9515,0.9515,0.9515,0.000394265,70.06
50,0.5558,97.82,0.6191,95.04,0.9505,0.9504,0.9504,9.86636e-05,48.42
